modell,eset,spearman,top5_atfedes,top1_egyezes
logreg,59,0.7280701754385965,0.8,1
logreg,85,0.8596491228070176,0.8,1
logreg,91,0.8245614035087718,1.0,1
logreg,104,0.743859649122807,0.8,1
logreg,112,0.6631578947368422,0.6,1
logreg,116,0.8649122807017543,0.8,1
logreg,123,0.7491228070175439,0.8,0
logreg,135,0.6350877192982456,0.8,1
logreg,169,0.8333333333333334,0.8,1
logreg,179,0.9175438596491228,1.0,1
logreg,196,0.8298245614035088,0.8,1
logreg,210,0.6333333333333333,0.8,0
logreg,222,0.8807017543859648,0.6,1
logreg,223,0.8175438596491227,0.8,0
logreg,242,0.7263157894736841,1.0,1
logreg,260,0.5491228070175439,0.8,1
logreg,264,0.7210526315789473,0.6,0
logreg,303,0.9350877192982456,0.8,1
logreg,313,0.2456140350877193,0.6,1
logreg,335,0.6631578947368422,0.8,0
logreg,371,0.7210526315789473,0.8,1
logreg,403,0.7263157894736841,0.8,1
logreg,435,0.6508771929824562,0.6,1
logreg,446,0.3736842105263158,0.6,1
logreg,456,0.6368421052631579,0.8,1
logreg,478,0.8912280701754386,0.6,1
logreg,492,0.6578947368421053,0.6,1
logreg,494,0.5210526315789473,0.6,1
logreg,501,0.8333333333333334,0.8,1
logreg,508,0.8701754385964912,0.8,1
logreg,536,0.5649122807017544,0.8,1
logreg,542,0.8614035087719297,1.0,1
logreg,562,0.37894736842105264,0.8,1
logreg,567,0.7228070175438598,0.8,1
logreg,574,0.8666666666666666,0.8,0
logreg,591,0.7228070175438598,0.8,1
logreg,596,0.6280701754385966,0.6,0
logreg,601,0.8298245614035088,1.0,1
logreg,602,0.4280701754385965,0.6,1
logreg,606,0.8333333333333334,0.8,1
logreg,607,0.6701754385964912,1.0,1
logreg,634,0.763157894736842,0.8,0
logreg,637,0.763157894736842,0.8,0
logreg,645,0.83859649122807,0.8,1
logreg,656,0.6385964912280702,1.0,1
logreg,663,0.9,0.8,1
logreg,676,0.7894736842105263,0.8,1
logreg,678,0.8403508771929825,0.8,1
logreg,692,0.8859649122807017,0.8,1
logreg,727,0.6543859649122807,0.6,0
logreg,742,0.8157894736842105,0.8,1
logreg,744,0.843859649122807,0.8,1
logreg,781,0.6578947368421053,0.8,1
logreg,849,0.7,0.8,0
logreg,856,0.5736842105263157,0.6,0
logreg,875,0.8421052631578947,1.0,1
logreg,894,0.8666666666666666,1.0,1
logreg,915,0.7982456140350876,0.8,1
logreg,917,0.6947368421052632,0.8,0
logreg,927,0.8315789473684211,0.8,1
logreg,932,0.8842105263157896,0.8,0
logreg,944,0.8175438596491227,0.8,1
logreg,947,0.6070175438596491,0.8,0
logreg,957,0.8947368421052632,0.8,0
logreg,969,0.5228070175438596,0.6,1
logreg,974,0.8684210526315789,0.8,1
logreg,1003,0.887719298245614,0.8,0
logreg,1011,0.7140350877192982,0.8,1
logreg,1013,0.531578947368421,0.8,1
logreg,1018,0.45789473684210524,0.6,0
logreg,1021,0.7701754385964912,0.8,0
logreg,1030,0.8596491228070176,1.0,1
logreg,1038,0.7736842105263159,0.8,1
logreg,1039,0.8210526315789475,0.6,1
logreg,1054,0.8315789473684211,0.8,0
logreg,1070,0.7824561403508771,1.0,1
logreg,1094,0.6614035087719298,0.8,1
logreg,1096,0.7456140350877193,0.8,0
logreg,1111,0.8087719298245614,0.8,0
logreg,1124,0.9526315789473684,0.8,1
logreg,1125,0.856140350877193,0.8,0
logreg,1151,0.8614035087719297,0.8,0
logreg,1156,0.6473684210526316,0.4,0
logreg,1161,0.9421052631578948,1.0,1
logreg,1176,0.5929824561403508,0.6,0
logreg,1189,0.819298245614035,1.0,0
logreg,1208,0.6508771929824562,0.8,0
logreg,1231,0.7070175438596492,0.8,0
logreg,1242,0.8245614035087718,1.0,1
logreg,1257,0.5263157894736842,0.6,0
logreg,1260,0.5403508771929825,0.6,1
logreg,1284,0.5982456140350877,1.0,1
logreg,1303,0.6947368421052632,0.8,0
logreg,1311,0.83859649122807,0.8,1
logreg,1324,0.6017543859649123,0.8,1
logreg,1330,0.7614035087719299,0.6,0
logreg,1337,0.6789473684210526,1.0,1
logreg,1342,0.6807017543859648,0.6,0
logreg,1356,0.6631578947368422,1.0,0
logreg,1379,0.7824561403508771,0.8,1
tree,59,0.6260977929207644,0.8,1
tree,85,0.6386917140427338,0.8,0
tree,91,0.7106569775968447,0.6,0
tree,104,0.8527883731162137,0.6,1
tree,112,0.8276005308722748,0.6,1
tree,116,0.6099056086210896,0.6,1
tree,123,0.5307438187115676,0.8,0
tree,135,0.5703247136663285,0.6,1
tree,169,0.7718274516178389,0.8,0
tree,179,0.6710760826420837,0.8,1
tree,196,0.741242214607342,0.8,1
tree,210,0.6980630564748753,0.6,1
tree,222,0.7574343989070168,0.6,1
tree,223,0.732246556663078,0.8,1
tree,242,0.7034604512414336,0.8,1
tree,260,0.8222031361057165,1.0,1
tree,264,0.5433377398335371,0.4,1
tree,303,0.6207003981542061,0.6,1
tree,313,0.5523333977778008,0.8,0
tree,335,0.5397394766558314,0.6,0
tree,371,0.7826222411509556,0.8,1
tree,403,0.7034604512414336,0.6,1
tree,435,0.7358448198407836,0.6,1
tree,446,0.5847177663771507,0.6,1
tree,456,0.5199490291784509,0.6,1
tree,478,0.5271455555338621,0.6,1
tree,492,0.8347970572276859,0.6,1
tree,494,0.7844213727398083,0.4,1
tree,501,0.6242986613319117,0.6,1
tree,508,0.676473477408642,0.6,1
tree,536,0.3652237125371126,0.4,1
tree,542,0.825801399283422,0.8,0
tree,562,0.34903152823743766,0.6,1
tree,567,0.6800717405863477,0.4,1
tree,574,0.42459505496925404,0.4,1
tree,591,0.802412688628336,0.6,1
tree,596,0.6440891088092922,0.6,0
tree,601,0.6099056086210896,0.6,1
tree,602,0.6926656617083171,0.4,1
tree,606,0.725050030307667,0.6,1
tree,607,0.7862205043286611,0.6,0
tree,634,0.6872682669417587,0.6,1
tree,637,0.5721238452551813,0.4,1
tree,645,0.5235472923561564,0.6,1
tree,656,0.6728752142309364,0.6,1
tree,663,0.5505342661889481,0.8,0
tree,676,0.6584821615201143,0.6,1
tree,678,0.6404908456315865,0.6,1
tree,692,0.7538361357293111,0.6,1
tree,727,0.4317915813246651,0.4,1
tree,742,0.7880196359175139,0.8,1
tree,744,0.8779762153601525,0.6,1
tree,781,0.8096092149837472,0.8,1
tree,849,0.6494865035758505,0.6,1
