modell,eset,futas_par,spearman,top5_atfedes,top1_egyezes
logreg,9,0-1,0.6684210526315789,0.8,0
logreg,9,0-2,0.8964912280701753,0.8,0
logreg,9,1-2,0.712280701754386,0.6,1
logreg,31,0-1,0.6263157894736843,0.6,1
logreg,31,0-2,0.7105263157894737,0.8,1
logreg,31,1-2,0.6192982456140351,0.8,1
logreg,41,0-1,0.8017543859649122,0.8,1
logreg,41,0-2,0.7736842105263159,1.0,1
logreg,41,1-2,0.882456140350877,0.8,1
logreg,46,0-1,0.8982456140350877,0.8,1
logreg,46,0-2,0.9035087719298246,0.8,1
logreg,46,1-2,0.8771929824561402,0.6,1
logreg,49,0-1,0.8315789473684211,0.8,1
logreg,49,0-2,0.8350877192982457,1.0,1
logreg,49,1-2,0.8596491228070176,0.8,1
logreg,55,0-1,0.8982456140350877,1.0,1
logreg,55,0-2,0.8912280701754386,1.0,1
logreg,55,1-2,0.8894736842105263,1.0,1
logreg,79,0-1,0.9192982456140351,0.8,1
logreg,79,0-2,0.9070175438596491,0.8,1
logreg,79,1-2,0.9456140350877192,0.8,1
logreg,84,0-1,0.9456140350877192,0.8,1
logreg,84,0-2,0.8859649122807017,0.6,1
logreg,84,1-2,0.9175438596491228,0.8,1
logreg,97,0-1,0.9385964912280702,0.8,1
logreg,97,0-2,0.8719298245614034,1.0,1
logreg,97,1-2,0.856140350877193,0.8,1
logreg,104,0-1,0.6210526315789473,0.8,0
logreg,104,0-2,0.6754385964912282,0.8,1
logreg,104,1-2,0.5421052631578946,0.8,0
logreg,105,0-1,0.6561403508771929,1.0,1
logreg,105,0-2,0.6929824561403508,1.0,1
logreg,105,1-2,0.8070175438596491,1.0,1
logreg,107,0-1,0.9508771929824561,0.8,1
logreg,107,0-2,0.9666666666666668,0.8,1
logreg,107,1-2,0.943859649122807,0.8,1
logreg,114,0-1,0.8333333333333334,1.0,1
logreg,114,0-2,0.8771929824561402,0.8,1
logreg,114,1-2,0.712280701754386,0.8,1
logreg,121,0-1,0.8263157894736841,1.0,1
logreg,121,0-2,0.882456140350877,0.8,1
logreg,121,1-2,0.9,0.8,1
logreg,122,0-1,0.9105263157894736,0.8,1
logreg,122,0-2,0.9157894736842105,0.8,1
logreg,122,1-2,0.9245614035087718,1.0,1
logreg,123,0-1,0.6807017543859648,0.8,1
logreg,123,0-2,0.6385964912280702,0.8,1
logreg,123,1-2,0.5333333333333333,0.8,1
logreg,125,0-1,0.6298245614035087,0.6,1
logreg,125,0-2,0.5824561403508772,0.4,1
logreg,125,1-2,0.6017543859649123,0.6,1
logreg,146,0-1,0.9298245614035087,0.6,1
logreg,146,0-2,0.9140350877192982,0.8,1
logreg,146,1-2,0.9385964912280702,0.8,1
logreg,151,0-1,0.7947368421052632,0.8,1
logreg,151,0-2,0.8263157894736841,0.8,1
logreg,151,1-2,0.9,0.8,1
logreg,156,0-1,0.7157894736842104,0.8,0
logreg,156,0-2,0.7684210526315789,0.8,1
logreg,156,1-2,0.7719298245614035,0.8,0
logreg,165,0-1,0.856140350877193,1.0,1
logreg,165,0-2,0.863157894736842,0.8,1
logreg,165,1-2,0.9491228070175438,0.8,1
logreg,166,0-1,0.9719298245614034,0.8,1
logreg,166,0-2,0.8789473684210527,0.8,1
logreg,166,1-2,0.8929824561403509,0.6,1
logreg,171,0-1,0.7964912280701755,0.8,1
logreg,171,0-2,0.9245614035087718,1.0,1
logreg,171,1-2,0.9087719298245613,0.8,1
logreg,182,0-1,0.6263157894736843,0.8,1
logreg,182,0-2,0.512280701754386,0.6,1
logreg,182,1-2,0.6508771929824562,0.8,1
logreg,184,0-1,0.7403508771929824,0.8,1
logreg,184,0-2,0.7105263157894737,0.8,1
logreg,184,1-2,0.6140350877192983,0.8,1
logreg,194,0-1,0.8,1.0,1
logreg,194,0-2,0.7614035087719299,0.8,0
logreg,194,1-2,0.8684210526315789,0.8,0
logreg,205,0-1,0.6526315789473683,0.8,1
logreg,205,0-2,0.6385964912280702,0.8,0
logreg,205,1-2,0.7842105263157895,0.8,0
logreg,206,0-1,0.6210526315789473,0.8,0
logreg,206,0-2,0.6859649122807018,0.6,0
logreg,206,1-2,0.7894736842105263,0.8,1
logreg,211,0-1,0.9263157894736841,1.0,0
logreg,211,0-2,0.9456140350877192,1.0,0
logreg,211,1-2,0.8368421052631579,1.0,1
logreg,223,0-1,0.8315789473684211,0.8,1
logreg,223,0-2,0.7947368421052632,0.8,1
logreg,223,1-2,0.8754385964912281,1.0,1
logreg,224,0-1,0.8491228070175438,0.8,1
logreg,224,0-2,0.9228070175438597,0.8,1
logreg,224,1-2,0.8087719298245614,0.8,1
logreg,229,0-1,0.9385964912280702,0.8,0
logreg,229,0-2,0.9,0.8,1
logreg,229,1-2,0.8228070175438595,0.8,0
logreg,231,0-1,0.7684210526315789,0.8,1
logreg,231,0-2,0.6421052631578947,0.6,1
logreg,231,1-2,0.6666666666666666,0.6,1
logreg,241,0-1,0.8456140350877193,0.8,0
logreg,241,0-2,0.8122807017543859,0.8,0
logreg,241,1-2,0.9350877192982456,1.0,1
logreg,244,0-1,0.7982456140350876,0.8,1
logreg,244,0-2,0.8964912280701753,0.8,1
logreg,244,1-2,0.7912280701754386,1.0,1
logreg,261,0-1,0.531578947368421,0.8,1
logreg,261,0-2,0.687719298245614,0.8,1
