modell,modszer,zajszint,ismetles,eset,spearman,top5_atfedes,top1_egyezes
logreg,shap,0.01,0,9,1.0,1.0,1
logreg,shap,0.01,0,31,1.0,1.0,1
logreg,shap,0.01,0,41,1.0,1.0,1
logreg,shap,0.01,0,46,1.0,1.0,1
logreg,shap,0.01,0,49,1.0,1.0,1
logreg,shap,0.01,0,55,1.0,1.0,1
logreg,shap,0.01,0,79,1.0,1.0,1
logreg,shap,0.01,0,84,1.0,1.0,1
logreg,shap,0.01,0,97,1.0,1.0,1
logreg,shap,0.01,0,104,1.0,1.0,1
logreg,shap,0.01,0,105,1.0,1.0,1
logreg,shap,0.01,0,107,1.0,1.0,1
logreg,shap,0.01,0,114,1.0,1.0,1
logreg,shap,0.01,0,121,1.0,1.0,1
logreg,shap,0.01,0,122,1.0,1.0,1
logreg,shap,0.01,0,123,1.0,1.0,1
logreg,shap,0.01,0,125,1.0,1.0,1
logreg,shap,0.01,0,146,1.0,1.0,1
logreg,shap,0.01,0,151,1.0,1.0,1
logreg,shap,0.01,0,156,1.0,1.0,1
logreg,shap,0.01,0,165,1.0,1.0,1
logreg,shap,0.01,0,166,1.0,1.0,1
logreg,shap,0.01,0,171,1.0,1.0,1
logreg,shap,0.01,0,182,1.0,1.0,1
logreg,shap,0.01,0,184,1.0,1.0,1
logreg,shap,0.01,0,194,1.0,1.0,1
logreg,shap,0.01,0,205,1.0,1.0,1
logreg,shap,0.01,0,206,1.0,1.0,1
logreg,shap,0.01,0,211,1.0,1.0,1
logreg,shap,0.01,0,223,1.0,1.0,1
logreg,shap,0.01,0,224,0.9982456140350877,1.0,1
logreg,shap,0.01,0,229,1.0,1.0,1
logreg,shap,0.01,0,231,1.0,1.0,1
logreg,shap,0.01,0,241,0.9982456140350877,1.0,1
logreg,shap,0.01,0,244,1.0,1.0,1
logreg,shap,0.01,0,261,0.9982456140350877,1.0,1
logreg,shap,0.01,0,281,0.9982456140350877,1.0,1
logreg,shap,0.01,0,289,1.0,1.0,1
logreg,shap,0.01,0,291,0.9982456140350877,1.0,1
logreg,shap,0.01,0,311,1.0,1.0,1
logreg,shap,0.01,0,316,1.0,1.0,1
logreg,shap,0.01,0,325,1.0,1.0,1
logreg,shap,0.01,0,332,0.9982456140350877,1.0,1
logreg,shap,0.01,0,344,1.0,1.0,1
logreg,shap,0.01,0,364,1.0,1.0,1
logreg,shap,0.01,0,372,1.0,1.0,1
logreg,shap,0.01,0,375,1.0,1.0,1
logreg,shap,0.01,0,381,0.9982456140350877,1.0,1
logreg,shap,0.01,0,398,1.0,1.0,1
logreg,shap,0.01,0,403,0.9982456140350877,1.0,1
logreg,shap,0.01,0,407,1.0,1.0,1
logreg,shap,0.01,0,414,1.0,1.0,1
logreg,shap,0.01,0,420,1.0,1.0,1
logreg,shap,0.01,0,423,1.0,1.0,1
logreg,shap,0.01,0,440,1.0,1.0,1
logreg,shap,0.01,0,442,1.0,1.0,1
logreg,shap,0.01,0,454,1.0,1.0,1
logreg,shap,0.01,0,457,0.9929824561403509,1.0,1
logreg,shap,0.01,0,459,1.0,1.0,1
logreg,shap,0.01,0,464,1.0,1.0,1
logreg,shap,0.01,0,467,1.0,1.0,1
logreg,shap,0.01,0,471,1.0,1.0,1
logreg,shap,0.01,0,475,1.0,1.0,1
logreg,shap,0.01,0,480,1.0,1.0,1
logreg,shap,0.01,0,495,0.9982456140350877,1.0,1
logreg,shap,0.01,0,503,1.0,1.0,1
logreg,shap,0.01,0,506,1.0,1.0,1
logreg,shap,0.01,0,521,1.0,1.0,1
logreg,shap,0.01,0,523,1.0,1.0,1
logreg,shap,0.01,0,530,1.0,1.0,1
logreg,shap,0.01,0,547,0.9982456140350877,1.0,1
logreg,shap,0.01,0,551,1.0,1.0,1
logreg,shap,0.01,0,556,1.0,1.0,1
logreg,shap,0.01,0,558,1.0,1.0,1
logreg,shap,0.01,0,559,1.0,1.0,1
logreg,shap,0.01,0,562,1.0,1.0,1
logreg,shap,0.01,0,564,1.0,1.0,1
logreg,shap,0.01,0,572,1.0,1.0,1
logreg,shap,0.01,0,582,1.0,1.0,1
logreg,shap,0.01,0,587,1.0,1.0,1
logreg,shap,0.01,0,590,0.9982456140350877,1.0,1
logreg,shap,0.01,0,591,0.9982456140350877,1.0,1
logreg,shap,0.01,0,598,0.9982456140350877,1.0,1
logreg,shap,0.01,0,605,0.9982456140350877,1.0,1
logreg,shap,0.01,0,609,1.0,1.0,1
logreg,shap,0.01,0,613,1.0,1.0,1
logreg,shap,0.01,0,619,1.0,1.0,1
logreg,shap,0.01,0,620,1.0,1.0,1
logreg,shap,0.01,0,626,1.0,1.0,1
logreg,shap,0.01,0,627,0.9982456140350877,1.0,1
logreg,shap,0.01,0,637,0.9947368421052631,1.0,1
logreg,shap,0.01,0,640,1.0,1.0,1
logreg,shap,0.01,0,667,1.0,1.0,1
logreg,shap,0.01,0,673,1.0,1.0,1
logreg,shap,0.01,0,687,1.0,1.0,1
logreg,shap,0.01,0,688,1.0,1.0,1
logreg,shap,0.01,0,689,1.0,1.0,1
logreg,shap,0.01,0,690,1.0,1.0,1
logreg,shap,0.01,0,693,0.9982456140350877,1.0,1
logreg,shap,0.01,0,724,1.0,1.0,1
logreg,shap,0.01,0,732,1.0,1.0,1
logreg,shap,0.01,0,740,0.9982456140350877,1.0,1
logreg,shap,0.01,0,748,0.9982456140350877,1.0,1
