modell,modszer,metrika,n,atlag,szoras,median,ci_also,ci_felso
logreg,shap,zaj 1% top5,300,0.999,0.016,1.0,0.997,1.0
logreg,shap,zaj 5% top5,300,0.99,0.044,1.0,0.985,0.995
logreg,shap,zaj 10% top5,300,0.98,0.06,1.0,0.973,0.987
logreg,lime,zaj 1% top5,300,0.837,0.119,0.8,0.824,0.851
logreg,lime,zaj 5% top5,300,0.826,0.129,0.8,0.811,0.84
logreg,lime,zaj 10% top5,300,0.821,0.123,0.8,0.807,0.834
logreg,shap-lime,SHAP vs LIME top5,100,0.788,0.13,0.8,0.764,0.814
logreg,lime-lime,LIME zajküszöb top5,300,0.839,0.121,0.8,0.825,0.851
tree,shap,zaj 1% top5,300,0.993,0.04,1.0,0.988,0.997
tree,shap,zaj 5% top5,300,0.969,0.084,1.0,0.959,0.979
tree,shap,zaj 10% top5,300,0.953,0.099,1.0,0.941,0.964
tree,lime,zaj 1% top5,300,0.803,0.125,0.8,0.789,0.817
tree,lime,zaj 5% top5,300,0.809,0.126,0.8,0.795,0.823
tree,lime,zaj 10% top5,300,0.801,0.131,0.8,0.787,0.815
tree,shap-lime,SHAP vs LIME top5,100,0.64,0.133,0.6,0.614,0.666
tree,lime-lime,LIME zajküszöb top5,300,0.803,0.129,0.8,0.787,0.817
xgboost,shap,zaj 1% top5,300,0.94,0.095,1.0,0.929,0.951
xgboost,shap,zaj 5% top5,300,0.888,0.118,0.8,0.875,0.901
xgboost,shap,zaj 10% top5,300,0.851,0.122,0.8,0.836,0.865
xgboost,lime,zaj 1% top5,300,0.875,0.117,0.8,0.862,0.889
xgboost,lime,zaj 5% top5,300,0.867,0.123,0.8,0.853,0.881
xgboost,lime,zaj 10% top5,300,0.856,0.117,0.8,0.843,0.869
xgboost,shap-lime,SHAP vs LIME top5,100,0.724,0.126,0.8,0.698,0.748
xgboost,lime-lime,LIME zajküszöb top5,300,0.866,0.123,0.8,0.853,0.88
