,shap,lime
Contract,0.6956361,0.19989137525481987
TotalCharges,0.525751,0.035402482995671156
MonthlyCharges,0.4918602,0.14937680371836692
tenure,0.44927967,0.10265734406900678
InternetService,0.2204842,0.08027526701846882
SeniorCitizen,0.19357942,0.03227205324004546
OnlineSecurity,0.19324905,0.07648412602347997
MultipleLines,0.18132237,0.03156693711850021
TechSupport,0.11202186,0.033814231619358905
OnlineBackup,0.10478832,0.026356262692155918
PaymentMethod,0.09164525,0.06562684016597975
StreamingMovies,0.08611555,0.023458057702177126
PaperlessBilling,0.08600678,0.04165066303374772
StreamingTV,0.06376409,0.021706241717877786
gender,-0.053957976,-0.011581707935631258
Partner,-0.03041285,0.004775272877152284
Dependents,0.029524514,0.026038811275164588
PhoneService,-0.022050949,-0.018639080392357135
DeviceProtection,-0.0057434854,0.005838560829115704
