modell,eset,futas_par,spearman,top5_atfedes,top1_egyezes
xgboost,120,0-1,0.7245614035087719,0.8,1
xgboost,120,0-2,0.46140350877192987,0.8,1
xgboost,120,1-2,0.5701754385964912,0.6,1
xgboost,124,0-1,0.8421052631578947,0.8,1
xgboost,124,0-2,0.887719298245614,1.0,1
xgboost,124,1-2,0.8578947368421052,0.8,1
xgboost,132,0-1,0.9122807017543859,1.0,1
xgboost,132,0-2,0.8771929824561402,1.0,1
xgboost,132,1-2,0.9368421052631579,1.0,1
xgboost,282,0-1,0.9,0.8,1
xgboost,282,0-2,0.8298245614035088,0.8,1
xgboost,282,1-2,0.8403508771929825,0.6,1
xgboost,606,0-1,0.8368421052631579,0.8,1
xgboost,606,0-2,0.9157894736842105,1.0,1
xgboost,606,1-2,0.8228070175438595,0.8,1
xgboost,613,0-1,0.7473684210526316,0.6,1
xgboost,613,0-2,0.7824561403508771,0.8,1
xgboost,613,1-2,0.8736842105263157,0.6,1
xgboost,915,0-1,0.7736842105263159,0.8,1
xgboost,915,0-2,0.8701754385964912,0.8,1
xgboost,915,1-2,0.8210526315789475,1.0,1
xgboost,978,0-1,0.8719298245614034,0.8,0
xgboost,978,0-2,0.8719298245614034,0.8,1
xgboost,978,1-2,0.7666666666666666,1.0,0
xgboost,1081,0-1,0.6631578947368422,0.8,1
xgboost,1081,0-2,0.7964912280701755,0.8,1
xgboost,1081,1-2,0.7035087719298245,0.8,1
xgboost,1202,0-1,0.8017543859649122,0.8,1
xgboost,1202,0-2,0.8421052631578947,0.8,1
xgboost,1202,1-2,0.7491228070175439,0.6,1
