eset,spearman,top5_atfedes,top1_egyezes,csoport_suly_ind,csoport_suly_part,csoport_koncentracio_ind,csoport_koncentracio_part
59,0.9350877192982456,0.6,1,0.17667379101747596,0.1754591028287218,0.35493382959145264,0.3748319904263048
85,0.9456140350877192,1.0,1,0.3641789146416569,0.3510955851411214,0.30831323199528204,0.28429107383941177
91,0.9736842105263157,1.0,1,0.31055728893863616,0.31941056421242414,0.3681188919152614,0.38426504243923254
104,0.9543859649122807,0.8,1,0.21004714983054376,0.1777908477450712,0.3484914899258203,0.42402419919238027
112,0.9350877192982456,0.8,1,0.1881794325576411,0.17884182016926126,0.34238418142126714,0.38667177226474597
116,0.8508771929824561,0.8,1,0.28055123635930457,0.2893962996645625,0.40800318090765203,0.44564299599791013
123,0.9596491228070174,1.0,1,0.3477535509260393,0.3466876955039672,0.3825579208947122,0.3952031575174908
135,0.9298245614035087,1.0,1,0.2592449612353337,0.28763721873700754,0.4121525042474124,0.3885591153243562
169,0.9649122807017543,1.0,1,0.31225450028487617,0.3194188108706064,0.4823084857254598,0.4846561164429917
179,0.9263157894736841,0.8,1,0.24144869609941835,0.22368104976834657,0.2828134464189332,0.25949309303888823
196,0.9473684210526316,1.0,0,0.2697133225066389,0.27228507147625164,0.37740389441673605,0.37521403520953694
210,0.9736842105263157,1.0,1,0.2674212421989336,0.2543916785479667,0.21843158571564733,0.22669993457579463
222,0.9842105263157893,1.0,1,0.2951747160191218,0.2948114271511966,0.3808015014260529,0.4199002642367991
223,0.9649122807017543,1.0,1,0.26555462396440077,0.2809185912687987,0.3943671350410581,0.3935919386774021
242,0.9929824561403509,1.0,1,0.2404956072563206,0.21948148460500597,0.39398023043908276,0.3839249392479627
260,0.987719298245614,1.0,1,0.19824824881477876,0.2016684615100783,0.3596712200227689,0.33867656831338555
264,0.9508771929824561,1.0,1,0.3225354122368818,0.31586072743939186,0.4052606006594498,0.4128012679448112
303,0.9684210526315788,1.0,1,0.3294596569418452,0.34775495774099335,0.42413327230609266,0.44326960035985613
313,0.9578947368421052,1.0,1,0.3221211001982775,0.3450114159946501,0.3788869645702266,0.44498681448786165
335,0.9526315789473684,0.8,1,0.42033973463425345,0.3950419093375015,0.41952539385135657,0.42700934262355417
371,0.9684210526315788,1.0,1,0.2420777931228973,0.23391926315459838,0.36195353024376536,0.3618237346204295
403,0.9929824561403509,1.0,1,0.2674562927919714,0.260651839282091,0.2670937578328918,0.25323712615990085
435,0.9701754385964911,1.0,1,0.2688352548421407,0.23979686428747526,0.3236377378415683,0.38713005493139946
446,0.9140350877192982,1.0,1,0.265112409169539,0.26346313026649076,0.3987828758303356,0.43578840434861
456,0.8982456140350877,0.8,1,0.1604527439761314,0.13817462240845965,0.4085715101763068,0.36396233223816854
478,0.9666666666666668,1.0,1,0.3180996935157397,0.3365516691138921,0.4190664972596476,0.4586597208109771
492,0.9456140350877192,1.0,1,0.2332443943935897,0.20162092537884166,0.36152155229043137,0.3916788752307213
494,0.9578947368421052,1.0,1,0.3198957976458779,0.2911888534921607,0.3989370039762204,0.4520312999625145
501,0.9192982456140351,0.8,1,0.21749914520170346,0.18940849755054767,0.3464834571725667,0.3746922409854486
508,0.987719298245614,1.0,1,0.2613929239943871,0.2529540038291088,0.3824970871565585,0.406159875666055
536,0.9859649122807018,1.0,1,0.34068268680548874,0.3474442211395177,0.363824098758608,0.35524897965571334
542,0.987719298245614,0.8,1,0.27777654902170457,0.2734557386214513,0.4175677600297423,0.43820537394004705
562,0.9614035087719298,0.8,1,0.22811085794608466,0.20676828062234998,0.446575193051884,0.4468373482840289
567,0.9543859649122807,1.0,1,0.27346356930922844,0.279190624916816,0.34721016899838986,0.4103319615464401
574,0.9859649122807018,1.0,1,0.33385743973891563,0.31632423255449627,0.45573567921867286,0.43437136799049486
591,0.9701754385964911,1.0,1,0.3640657907324042,0.3642514044482991,0.45864538952504874,0.44888369321156735
596,0.9473684210526316,1.0,1,0.3940643962857526,0.4024140689051355,0.4334006197901828,0.40850750711576406
601,0.8807017543859648,1.0,1,0.25799422784843296,0.22111321243504836,0.38827101468935166,0.4169968143884653
602,0.9736842105263157,1.0,1,0.21045004417867608,0.18504838943425914,0.3769233446916348,0.3455517295641883
606,0.9175438596491228,1.0,1,0.2407237888805386,0.2120383513552493,0.4039442522677274,0.418462201407397
607,0.9701754385964911,1.0,1,0.2597493869188077,0.2536338772632314,0.3720384308969197,0.33529903120571736
634,0.9736842105263157,1.0,1,0.2488813057444286,0.23462021366724664,0.357127306303756,0.3804782393397819
637,0.9543859649122807,1.0,1,0.2554900370852008,0.23796669232252277,0.46473954799264844,0.4994216671107895
645,0.9824561403508772,0.8,0,0.3511061808477451,0.3317869134017435,0.40560839947998595,0.4368805780343464
656,0.9263157894736841,1.0,1,0.22708170253792842,0.21536752084524674,0.34016611427554394,0.39369441583513126
663,0.975438596491228,1.0,1,0.2982789442530317,0.2947830269300653,0.2734314471097733,0.2903191697945016
676,0.9666666666666668,1.0,1,0.2928892003736591,0.3098577715433857,0.41290737044625087,0.38549212081916023
678,0.975438596491228,1.0,1,0.24604543701281797,0.23486238353373798,0.38031031719471076,0.4139408061094905
692,0.9192982456140351,0.8,1,0.22627842629138747,0.21970479667675633,0.4291263780544839,0.4824393577264671
727,0.9842105263157893,0.8,0,0.4249519107613029,0.41080618523523427,0.3081703513150794,0.30858569575559175
742,0.9614035087719298,1.0,1,0.195031896048962,0.18479352104045035,0.4460666295345675,0.5206175194953335
744,0.787719298245614,0.8,1,0.27884246620439557,0.224954694463139,0.31590547734643176,0.33341403070458225
781,0.9701754385964911,1.0,1,0.2448809618636007,0.21562054497923627,0.43828385112658924,0.3660014436077428
849,0.9771929824561404,1.0,1,0.33363967269708933,0.32049997955662357,0.5708879904139945,0.5833655490611739
856,0.9771929824561404,1.0,1,0.24158754381645378,0.23773559127653604,0.39296694722198455,0.42663545755589494
875,0.9666666666666668,1.0,1,0.31961392084801576,0.3288355325286376,0.3303511170563992,0.3898912522502552
894,0.9263157894736841,1.0,1,0.23081500973841995,0.17553211164234833,0.37028320321792496,0.34010507440952736
915,0.9842105263157893,1.0,1,0.21591718677078275,0.2151526272178327,0.26572818575821255,0.2614340660763793
917,0.9421052631578948,1.0,1,0.26040909944586554,0.3020507934501384,0.3360489387819762,0.30941789807922004
927,0.8894736842105263,0.8,1,0.14869876132445448,0.1824546603962429,0.3647790577670902,0.3144407303157863
932,0.9824561403508772,1.0,1,0.3768625348096813,0.3630619776483874,0.3328009706021756,0.3249957716566622
944,0.9596491228070174,0.8,1,0.3703265909892812,0.37036403878301255,0.5097474354635175,0.5365190257171522
947,0.9403508771929823,1.0,1,0.28852967868425855,0.3045060651133567,0.4112229554780125,0.403936412284443
957,0.9824561403508772,1.0,1,0.27461996509733344,0.28373612751932925,0.378093875175676,0.37608714025916645
969,0.9087719298245613,1.0,1,0.2401032933450559,0.20753016654460804,0.3554541280523692,0.3977342444062195
974,0.9666666666666668,0.8,1,0.28346808237937626,0.2707281110388572,0.3557585116445697,0.36038818280125123
1003,0.975438596491228,1.0,1,0.30743116033206397,0.2877711927888921,0.4557834352901712,0.4980348584464955
1011,0.9473684210526316,1.0,1,0.334665784163693,0.34925235906925256,0.41311048983314874,0.4409839648438402
1013,0.9350877192982456,0.8,1,0.2627499454801065,0.23894710335980282,0.4080045104493765,0.3519600093600127
1018,0.9701754385964911,1.0,1,0.25451241473065067,0.21940032556899733,0.33949656212709556,0.3509775204164821
1021,0.980701754385965,1.0,1,0.28932804120708167,0.27303314251068356,0.4202365814530466,0.45811246776616393
1030,0.9684210526315788,0.8,0,0.3769978000687128,0.36563842034266114,0.37432782263324754,0.3354644193843096
1038,0.975438596491228,0.8,1,0.3358078702100126,0.3288945614501931,0.36888667963697497,0.4191334918400072
1039,0.9508771929824561,1.0,1,0.24263706831440818,0.2565951591284198,0.4559756682577636,0.4607437737455999
1054,0.987719298245614,1.0,1,0.28941863874229473,0.2771533989256471,0.33774510805866775,0.36034144426570586
1070,0.9859649122807018,1.0,1,0.25685699784210253,0.26500359521572603,0.31650072373005866,0.36194391713403534
1094,0.9614035087719298,0.8,1,0.35961764562804044,0.36315648524232036,0.41586390027342246,0.4364972471986193
1096,0.9614035087719298,0.8,1,0.40823941475756204,0.42241639151333626,0.5350018419519864,0.5435735434395009
1111,0.9789473684210527,0.8,1,0.2987987608777989,0.2793987205329645,0.3389566245206679,0.3120752531909543
1124,0.9403508771929823,1.0,1,0.24561144678496913,0.25781489524720086,0.3573603226710599,0.3665553494916582
1125,0.9719298245614034,0.8,1,0.2587218292156399,0.23813811390263664,0.2868162497369076,0.32070719205740644
1151,0.9912280701754386,1.0,1,0.32178013363473024,0.30637186008541556,0.48090468753577564,0.47041211385838416
1156,0.9596491228070174,1.0,1,0.36095608844447125,0.33797815880986176,0.3514810982749235,0.38021191282708405
1161,0.980701754385965,0.8,1,0.19058141347842017,0.18353794805355436,0.4324466365927001,0.46268720481943165
1176,0.9491228070175438,1.0,1,0.376270422108869,0.3605709969749486,0.3446736843244638,0.39247493882262824
1189,0.980701754385965,0.8,1,0.19283477800116142,0.22290305324551432,0.45356416343342226,0.47527908657651796
1208,0.9842105263157893,1.0,1,0.41112292436531517,0.4054789116744576,0.37795400720019623,0.39728994253776834
1231,0.9543859649122807,0.8,0,0.42525857312800497,0.42601458267725334,0.2925263290447048,0.3119718733602828
1242,0.9631578947368421,0.8,1,0.3040407629890996,0.3073262568240709,0.31493967353271524,0.295105565180145
1257,0.9701754385964911,1.0,1,0.3469397932828707,0.34809754152377487,0.3305370896892339,0.3224813340123554
1260,0.9824561403508772,1.0,1,0.24264264225267895,0.2543985759907268,0.36399498240932765,0.3905890280728714
1284,0.9912280701754386,1.0,1,0.3112083867560002,0.3018840307404539,0.30685024325698385,0.2968267229427483
1303,0.9684210526315788,0.8,1,0.29956298984342544,0.31173797379936063,0.4192586972480602,0.45105344443733564
1311,0.9859649122807018,0.8,1,0.24891129311014337,0.24218922279034574,0.45522609955534554,0.45720492254813505
1324,0.9666666666666668,0.8,1,0.22712841286238364,0.21047513679190183,0.403733225519673,0.38706180561711084
1330,0.9684210526315788,0.8,1,0.39932145351565485,0.356900244748985,0.48068121316796963,0.49245674553019864
