modell,modszer,zajszint,ismetles,eset,spearman,top5_atfedes,top1_egyezes
xgboost,shap,0.01,0,120,1.0,1.0,1
xgboost,shap,0.01,0,124,0.9982456140350877,1.0,0
xgboost,shap,0.01,0,132,0.9912280701754386,1.0,1
xgboost,shap,0.01,0,282,1.0,1.0,1
xgboost,shap,0.01,0,606,0.9964912280701754,1.0,1
xgboost,shap,0.01,0,613,1.0,1.0,1
xgboost,shap,0.01,0,915,1.0,1.0,1
xgboost,shap,0.01,0,978,0.9824561403508772,0.8,1
xgboost,shap,0.01,0,1081,0.9789473684210527,1.0,1
xgboost,shap,0.01,0,1202,1.0,1.0,1
xgboost,shap,0.01,1,120,0.9982456140350877,1.0,1
xgboost,shap,0.01,1,124,1.0,1.0,1
xgboost,shap,0.01,1,132,0.8859649122807017,0.8,1
xgboost,shap,0.01,1,282,0.9526315789473684,1.0,1
xgboost,shap,0.01,1,606,0.9894736842105263,1.0,1
xgboost,shap,0.01,1,613,1.0,1.0,1
xgboost,shap,0.01,1,915,1.0,1.0,1
xgboost,shap,0.01,1,978,0.9526315789473684,0.8,1
xgboost,shap,0.01,1,1081,1.0,1.0,1
xgboost,shap,0.01,1,1202,0.9982456140350877,1.0,1
xgboost,shap,0.01,2,120,1.0,1.0,1
xgboost,shap,0.01,2,124,1.0,1.0,1
xgboost,shap,0.01,2,132,0.8578947368421052,0.8,1
xgboost,shap,0.01,2,282,0.9350877192982456,1.0,1
xgboost,shap,0.01,2,606,0.9964912280701754,1.0,1
xgboost,shap,0.01,2,613,0.9929824561403509,1.0,1
xgboost,shap,0.01,2,915,1.0,1.0,1
xgboost,shap,0.01,2,978,0.9964912280701754,0.8,1
xgboost,shap,0.01,2,1081,0.9771929824561404,1.0,1
xgboost,shap,0.01,2,1202,0.9947368421052631,1.0,0
xgboost,shap,0.05,0,120,0.9964912280701754,1.0,1
xgboost,shap,0.05,0,124,0.9,0.8,0
xgboost,shap,0.05,0,132,0.956140350877193,1.0,1
xgboost,shap,0.05,0,282,0.9070175438596491,1.0,1
xgboost,shap,0.05,0,606,0.9543859649122807,1.0,1
xgboost,shap,0.05,0,613,0.9789473684210527,0.8,0
xgboost,shap,0.05,0,915,0.9982456140350877,1.0,1
xgboost,shap,0.05,0,978,0.9631578947368421,0.8,1
xgboost,shap,0.05,0,1081,0.9736842105263157,0.8,1
xgboost,shap,0.05,0,1202,1.0,1.0,1
xgboost,shap,0.05,1,120,0.980701754385965,1.0,1
xgboost,shap,0.05,1,124,0.9122807017543859,0.8,0
xgboost,shap,0.05,1,132,0.6105263157894737,0.6,0
xgboost,shap,0.05,1,282,0.8754385964912281,0.8,1
xgboost,shap,0.05,1,606,0.9140350877192982,1.0,1
xgboost,shap,0.05,1,613,0.9894736842105263,1.0,1
xgboost,shap,0.05,1,915,1.0,1.0,1
xgboost,shap,0.05,1,978,0.9578947368421052,1.0,1
xgboost,shap,0.05,1,1081,1.0,1.0,1
xgboost,shap,0.05,1,1202,0.9666666666666668,1.0,0
xgboost,shap,0.05,2,120,0.9614035087719298,0.8,1
xgboost,shap,0.05,2,124,0.9719298245614034,1.0,0
xgboost,shap,0.05,2,132,0.7245614035087719,0.6,1
xgboost,shap,0.05,2,282,0.8543859649122807,0.8,1
xgboost,shap,0.05,2,606,0.9491228070175438,0.8,1
xgboost,shap,0.05,2,613,0.9543859649122807,1.0,1
xgboost,shap,0.05,2,915,0.9508771929824561,0.8,1
xgboost,shap,0.05,2,978,0.9245614035087718,0.8,1
xgboost,shap,0.05,2,1081,0.9736842105263157,0.8,1
xgboost,shap,0.05,2,1202,0.9912280701754386,1.0,0
xgboost,shap,0.1,0,120,0.9771929824561404,1.0,1
xgboost,shap,0.1,0,124,0.9631578947368421,1.0,0
xgboost,shap,0.1,0,132,0.980701754385965,1.0,1
xgboost,shap,0.1,0,282,0.9701754385964911,1.0,1
xgboost,shap,0.1,0,606,0.9333333333333333,0.8,1
xgboost,shap,0.1,0,613,0.9666666666666668,0.8,1
xgboost,shap,0.1,0,915,0.9771929824561404,0.8,0
xgboost,shap,0.1,0,978,0.9526315789473684,0.8,1
xgboost,shap,0.1,0,1081,0.9596491228070174,0.8,1
xgboost,shap,0.1,0,1202,0.9789473684210527,1.0,1
xgboost,shap,0.1,1,120,0.9350877192982456,0.8,1
xgboost,shap,0.1,1,124,0.9070175438596491,0.6,0
xgboost,shap,0.1,1,132,0.7385964912280703,0.8,1
xgboost,shap,0.1,1,282,0.7842105263157895,0.8,1
xgboost,shap,0.1,1,606,0.9035087719298246,1.0,1
xgboost,shap,0.1,1,613,0.9649122807017543,0.8,1
xgboost,shap,0.1,1,915,0.956140350877193,0.8,1
xgboost,shap,0.1,1,978,0.7543859649122807,0.8,1
xgboost,shap,0.1,1,1081,0.9824561403508772,0.8,1
xgboost,shap,0.1,1,1202,0.9122807017543859,1.0,0
xgboost,shap,0.1,2,120,0.9614035087719298,1.0,1
xgboost,shap,0.1,2,124,0.8807017543859648,0.8,0
xgboost,shap,0.1,2,132,0.8719298245614034,0.8,1
xgboost,shap,0.1,2,282,0.7017543859649124,0.8,1
xgboost,shap,0.1,2,606,0.9210526315789472,0.8,1
xgboost,shap,0.1,2,613,0.980701754385965,0.8,1
xgboost,shap,0.1,2,915,0.9824561403508772,0.8,0
xgboost,shap,0.1,2,978,0.9350877192982456,0.8,1
xgboost,shap,0.1,2,1081,0.9596491228070174,0.8,1
xgboost,shap,0.1,2,1202,0.9719298245614034,0.8,1
xgboost,lime,0.01,0,120,0.7754385964912281,0.6,1
xgboost,lime,0.01,0,124,0.8087719298245614,1.0,1
xgboost,lime,0.01,0,132,0.882456140350877,1.0,1
xgboost,lime,0.01,0,282,0.863157894736842,0.8,1
xgboost,lime,0.01,0,606,0.819298245614035,0.8,1
xgboost,lime,0.01,0,613,0.8333333333333334,0.8,1
xgboost,lime,0.01,0,915,0.83859649122807,1.0,1
xgboost,lime,0.01,0,978,0.8263157894736841,0.8,0
xgboost,lime,0.01,0,1081,0.7456140350877193,1.0,1
xgboost,lime,0.01,0,1202,0.8508771929824561,0.8,1
xgboost,lime,0.01,1,120,0.7245614035087719,0.8,1
xgboost,lime,0.01,1,124,0.8,1.0,1
xgboost,lime,0.01,1,132,0.819298245614035,0.8,1
xgboost,lime,0.01,1,282,0.7473684210526316,0.6,1
xgboost,lime,0.01,1,606,0.8298245614035088,0.8,1
xgboost,lime,0.01,1,613,0.8947368421052632,0.8,1
xgboost,lime,0.01,1,915,0.9701754385964911,1.0,1
xgboost,lime,0.01,1,978,0.7526315789473684,0.8,1
xgboost,lime,0.01,1,1081,0.8719298245614034,0.8,1
xgboost,lime,0.01,1,1202,0.8859649122807017,1.0,1
xgboost,lime,0.01,2,120,0.843859649122807,1.0,1
xgboost,lime,0.01,2,124,0.7859649122807018,1.0,1
xgboost,lime,0.01,2,132,0.882456140350877,1.0,1
xgboost,lime,0.01,2,282,0.8403508771929825,0.8,1
xgboost,lime,0.01,2,606,0.7350877192982455,0.8,1
xgboost,lime,0.01,2,613,0.787719298245614,1.0,1
xgboost,lime,0.01,2,915,0.8350877192982457,1.0,1
xgboost,lime,0.01,2,978,0.6561403508771929,0.8,0
xgboost,lime,0.01,2,1081,0.5614035087719299,0.8,1
xgboost,lime,0.01,2,1202,0.8263157894736841,1.0,1
xgboost,lime,0.05,0,120,0.6789473684210526,0.6,1
xgboost,lime,0.05,0,124,0.7982456140350876,0.8,1
xgboost,lime,0.05,0,132,0.9052631578947368,0.8,1
xgboost,lime,0.05,0,282,0.7526315789473684,0.6,1
xgboost,lime,0.05,0,606,0.6473684210526316,0.8,1
xgboost,lime,0.05,0,613,0.6456140350877193,0.8,1
xgboost,lime,0.05,0,915,0.9192982456140351,0.8,1
xgboost,lime,0.05,0,978,0.7789473684210525,1.0,0
xgboost,lime,0.05,0,1081,0.7859649122807018,0.8,1
xgboost,lime,0.05,0,1202,0.8017543859649122,1.0,1
xgboost,lime,0.05,1,120,0.4912280701754386,0.8,1
xgboost,lime,0.05,1,124,0.9140350877192982,1.0,1
xgboost,lime,0.05,1,132,0.8596491228070176,1.0,1
xgboost,lime,0.05,1,282,0.6649122807017543,0.8,1
xgboost,lime,0.05,1,606,0.8859649122807017,0.8,1
xgboost,lime,0.05,1,613,0.763157894736842,1.0,1
xgboost,lime,0.05,1,915,0.8140350877192982,1.0,1
xgboost,lime,0.05,1,978,0.6912280701754386,1.0,0
xgboost,lime,0.05,1,1081,0.5666666666666667,0.8,1
xgboost,lime,0.05,1,1202,0.8210526315789475,1.0,1
xgboost,lime,0.05,2,120,0.7052631578947368,0.6,1
